,key,Datetime,BidPrice_0,BidVolume_0,AskPrice_0,AskVolume_0,BidPrice_1,BidVolume_1,AskPrice_1,AskVolume_1,BidPrice_2,BidVolume_2,AskPrice_2,AskVolume_2,BidPrice_3,BidVolume_3,AskPrice_3,AskVolume_3,BidPrice_4,BidVolume_4,AskPrice_4,AskVolume_4,BidPrice_5,BidVolume_5,AskPrice_5,AskVolume_5,BidPrice_6,BidVolume_6,AskPrice_6,AskVolume_6,BidPrice_7,BidVolume_7,AskPrice_7,AskVolume_7,BidPrice_8,BidVolume_8,AskPrice_8,AskVolume_8,BidPrice_9,BidVolume_9,AskPrice_9,AskVolume_9
0,Germany_Baseload#19#0#10000106,2021-10-14 05:41:18.346000,,,127.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Germany_Baseload#19#0#10000106,2021-10-14 05:55:16.880000,122.0,1.0,127.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Germany_Baseload#19#0#10000106,2021-10-14 05:55:16.927000,122.0,1.0,127.0,1.0,121.97,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Germany_Baseload#19#0#10000106,2021-10-14 05:55:16.958000,122.0,1.0,127.0,1.0,121.97,1.0,,,121.94,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Germany_Baseload#19#0#10000106,2021-10-14 05:57:03.684000,122.0,1.0,127.0,1.0,121.97,1.0,,,121.94,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Germany_Baseload#19#0#10000106,2021-10-14 06:00:00.939000,122.0,1.0,127.0,1.0,121.97,1.0,,,121.94,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
6,Germany_Baseload#19#0#10000106,2021-10-14 06:00:00.940000,122.0,1.0,127.0,1.0,121.97,1.0,132.0,1.0,121.94,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
7,Germany_Baseload#19#0#10000106,2021-10-14 06:00:59.796000,123.0,1.0,127.0,1.0,122.0,1.0,132.0,1.0,121.97,1.0,,,121.94,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,
8,Germany_Baseload#19#0#10000106,2021-10-14 06:01:09.952000,123.0,1.0,127.0,1.0,122.0,1.0,132.0,1.0,121.97,1.0,,,121.94,1.0,,,116.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,
9,Germany_Baseload#19#0#10000106,2021-10-14 06:01:11.453000,123.0,1.0,127.0,1.0,122.0,1.0,132.0,1.0,121.97,1.0,,,121.94,1.0,,,116.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,
